Relative_expression_level	MgPAL1	MgPAL2	MgPAL3	MgPAL4	MgPAL5	MgC4H1	MgC4H2	Mg4CL1	Mg4CL2	Mg4CL3	Mg4CL4	Mg4CL5	MgHCT1	MgHCT2	MgC3H1	MgC3H2	MgCCoAOMT1	MgCCoAOMT2	MgCCoAOMT3	MgCCoAOMT4	MgCCR1	MgCCR2	MgF5H	MgCOMT	MgCCoAOMT5	MgCCRL3	MgCCRL2	MgCCRL1	MgCCR4	MgCCR3	MgCAD
L1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
L3	0.541840564	1.600304862	0.814418117	1.661307599	0.707641228	1.433511817	1.227505418	0.830521576	0.956608253	0.97888307	1.476253338	1.911102417	0.580847839	0.597589153	0.911147696	1.391972518	1.012397332	2.016889265	1.414995333	1.45287417	0.830673519	0.595147572	2.536081766	0.788321505	1.558001241	1.140892734	0.692072686	0.587343968	1.410594296	1.660900417	0.767986852
L5	0.262035682	0.896261934	0.629482201	0.940474881	0.331992554	1.110576004	0.630779781	0.489528213	0.53221637	0.944983776	1.872368982	0.867770558	0.347186941	0.386688942	0.750789576	1.268340528	0.575656932	2.413003675	0.998242057	1.73905376	0.371352736	0.283478306	1.425752439	0.455698495	0.812965113	0.690263455	0.651763421	0.465206696	0.785530847	0.903367906	0.482447852
IN12	6.397111137	1.396719965	0.686979715	0.005086363	5.695091323	0.506012932	0.159521662	2.040195748	0.082299836	3.84859176	0.268009676	1.622062046	8.408657605	3.293347081	2.119118198	0.472329656	5.814561368	1.45994956	14.75946949	0.411523099	3.19772258	4.095332364	5.877211048	4.722512879	2.725365623	0.167725233	0.451144307	0.688088825	3.671324809	0.621051184	4.180282448
IN34	8.40796788	2.370764344	0.795916837	0.012361825	8.220918533	0.437338137	0.205126998	2.309354087	0.095115352	4.63866671	0.20287814	1.620531592	9.925243868	4.254194937	2.537675026	0.600537751	6.614899613	0.622620183	19.55813111	0.639200561	4.349512722	6.049067216	6.85994776	5.186055011	2.804576414	0.214878809	0.426566671	0.731279933	1.550161843	0.508162482	5.501037075
IN56	11.77145615	2.897635469	0.83293258	0.001824242	9.846966172	0.512632264	0.323478537	2.882206989	0.148086271	6.088167892	0.104489851	1.424348438	11.04658347	4.607719043	3.126379636	0.431428488	5.497964396	0.454906359	19.15472012	1.009696261	4.642445756	7.25278089	4.062697543	7.221598463	2.143997136	0.203026856	0.50954235	0.648586718	1.303830365	0.650350719	7.810547878
N	3.573303613	1.009498495	0.572784731	0.019163309	3.304711585	0.147444417	0.227905837	1.469314622	0.328908474	3.015975549	0.095890938	0.935068877	4.559923951	2.408542028	1.882740969	0.137301654	1.196242923	1.818381996	2.840653232	1.638816519	1.362756232	2.493879591	0.543610835	3.148037983	1.354274262	0.177253402	0.815247292	0.95805832	5.479668995	0.665807392	2.887393569
R	8.490976505	1.590717924	2.550849376	0.780506762	9.747416533	0.375777338	0.668523796	6.04630493	0.591369123	11.36262706	1.45580778	2.012870682	10.72650733	6.540148309	6.986529161	0.031613225	0.526989925	13.28152814	0.93993697	0.128562966	4.881602759	7.598501747	0.116292935	4.535906949	2.878060962	0.0725842	2.608159188	1.155092361	23.20144309	1.670188384	11.32887769
B	6.878129449	0.960928007	1.883075348	0.228458324	6.877722873	0.210896942	0.789350722	3.930679753	1.39423908	6.79567169	0.368513541	2.165973808	4.853645639	5.196922835	4.727201124	0.113596787	0.712394277	3.755841845	0.508134456	0.773212787	2.327194004	5.09505066	0.048145244	4.626876973	0.945115094	0.074455552	1.889408164	1.9377747	17.33029655	1.363439749	5.899823853
S	0.09424729	0.115982074	0.288718538	0.055124968	0.147747306	0.652083968	0.192837362	0.189856417	0.296679401	0.473284255	0.674461655	3.131220091	0.11415167	0.128850212	0.583961532	0.683581368	0.344225905	2.995137687	0.543209579	1.930007355	0.225169957	0.052352435	0.337424807	0.199499913	2.594646605	0.520401313	0.615771119	0.484620442	0.359416907	0.568301769	0.22202635
L1	0.081641673	0.316408633	0.062515844	0.328903086	0.12432674	0.270485317	0.216460973	0.091954168	0.235350755	0.029674834	0.137907834	0.605158842	0.076855002	0.086747891	0.113551927	0.169021171	0.160160364	0.080976629	0.311128574	0.043144474	0.034969245	0.040051349	0.373003249	0.056173925	0.320270046	0.63143193	0.123740614	0.28018367	0.191592081	0.213514241	0.128213971
L3	0.108959171	0.571789576	0.14050969	0.540841282	0.105531445	0.343920764	0.530628361	0.171186769	0.135438592	0.04265608	0.161778378	1.665578569	0.162320501	0.137388274	0.036224308	0.394175224	0.30611828	0.239625524	0.222894596	0.262855177	0.157036647	0.175236831	1.099557413	0.21265296	1.558001241	0.325367199	0.020630743	0.0821653	0.398523267	0.537270462	0.099403945
L5	0.091087073	0.250050469	0.096000503	0.164950781	0.133089191	0.249363145	0.155702651	0.109419387	0.071511876	0.129925399	0.340885358	0.660048915	0.090375465	0.054336268	0.030713933	0.36682196	0.069351213	0.361674693	0.362376333	0.433933405	0.103692012	0.104883156	0.198476732	0.098275989	0.440155741	0.182535563	0.017136434	0.139424555	0.185471172	0.136464332	0.111812297
IN12	1.631680176	0.518231936	0.080976345	0.000487269	0.480063287	0.040861444	0.025609899	0.28268134	0.013135831	0.501779971	0.050025983	1.328992913	1.0301638	0.735499578	0.468260931	0.147343088	1.079413916	0.192534546	1.099933054	0.241574384	0.471031889	0.763072239	0.860171418	1.418732934	0.531877559	0.020672888	0.020292505	0.23377458	1.051839066	0.08979097	0.462016082
IN34	1.445758842	0.813298615	0.098616022	0.008336513	1.345712183	0.034668135	0.016745325	0.330293534	0.007486873	0.78898108	0.031257398	1.363485389	1.126367347	0.258018511	0.361466251	0.186138248	0.24321284	0.243838862	2.474902786	0.067464644	0.618577697	0.653053984	0.315054833	0.450173202	0.967553423	0.045413635	0.03016665	0.116130094	0.305358465	0.099098691	0.603906841
IN56	0.138989185	0.907548245	0.03848466	0.000928025	1.376062045	0.07911013	0.045540342	0.054140886	0.027785969	0.021049993	0.022819302	0.993129364	0.458343343	0.626580792	0.052523226	0.109960281	0.838091778	0.107331609	8.285398979	0.456050104	0.376840018	0.493455624	1.015140242	1.796482247	0.927775914	0.04868048	0.006298259	0.24447939	0.449336292	0.035092994	0.464978997
N	0.664441793	0.419926975	0.038854737	0.002557486	0.274784856	0.023442818	0.062968196	0.121961409	0.079772024	0.311080845	0.01143503	0.384100648	0.365037076	0.143491345	0.168867748	0.024407111	0.042935161	0.223238094	0.950212652	0.3811389	0.142155617	0.179355831	0.060067505	0.302892492	0.316025181	0.044913154	0.048020696	0.180381725	0.388345923	0.068547161	0.254825934
R	2.297803612	0.096420734	0.641139722	0.196970321	2.709372938	0.064264477	0.091282626	1.748556872	0.160620633	1.576073567	0.224130566	1.338761916	3.071705058	1.142871324	2.490610299	0.000303424	0.047184981	3.832125621	0.415350447	0.100173968	1.381447006	2.289099101	0.02339229	0.250341755	0.807642865	0.011799317	0.541177195	0.244357151	3.188611235	0.301820724	3.819198634
