L1	L3	L5	R	IN12	IN34	IN56
1	0.541840564	0.262035682	8.490976505	6.397111137	8.40796788	11.77145615
1	1.600304862	0.896261934	1.590717924	1.396719965	2.370764344	2.897635469
1	0.814418117	0.629482201	2.550849376	0.686979715	0.795916837	0.83293258
1	1.661307599	0.940474881	0.780506762	0.005086363	0.012361825	0.001824242
1	0.707641228	0.331992554	9.747416533	5.695091323	8.220918533	9.846966172
1	1.433511817	1.110576004	0.375777338	0.506012932	0.437338137	0.512632264
1	1.227505418	0.630779781	0.668523796	0.159521662	0.205126998	0.323478537
1	0.830521576	0.489528213	6.04630493	2.040195748	2.309354087	2.882206989
1	1.911102417	0.867770558	2.012870682	1.622062046	1.620531592	1.424348438
1	0.97888307	0.944983776	11.36262706	3.84859176	4.63866671	6.088167892
1	1.476253338	1.872368982	1.45580778	0.268009676	0.20287814	0.104489851
1	0.580847839	0.347186941	10.72650733	8.408657605	9.925243868	11.04658347
1	0.597589153	0.386688942	6.540148309	3.293347081	4.254194937	4.607719043
1	0.911147696	0.750789576	6.986529161	2.119118198	2.537675026	3.126379636
1	1.391972518	1.268340528	0.031613225	0.472329656	0.600537751	0.431428488
1	1.012397332	0.575656932	0.526989925	5.814561368	6.614899613	5.497964396
1	2.016889265	2.413003675	13.28152814	1.45994956	0.622620183	0.454906359
1	1.414995333	0.998242057	0.93993697	14.75946949	19.55813111	19.15472012
1	1.45287417	1.73905376	0.128562966	0.411523099	0.639200561	1.009696261
1	1.558001241	0.812965113	2.878060962	2.725365623	2.804576414	2.143997136
1	0.830673519	0.371352736	4.881602759	3.19772258	4.349512722	4.642445756
1	0.595147572	0.283478306	7.598501747	4.095332364	6.049067216	7.25278089
1	1.660900417	0.903367906	1.670188384	0.621051184	0.508162482	0.650350719
1	1.410594296	0.785530847	23.20144309	3.671324809	1.550161843	1.303830365
1	2.536081766	1.425752439	0.116292935	5.877211048	6.85994776	4.062697543
1	0.788321505	0.455698495	4.535906949	4.722512879	5.186055011	7.221598463
1	0.767986852	0.482447852	11.32887769	4.180282448	5.501037075	7.810547878
