Genes	Groups	Immature_Inflorescence	Mature_Leaf	Vegetative_Shoot_Apex	Vegetative_Shoot_Sub_Apex	Emerging_Shoot_sample_1	Emerging_Shoot_sample_2	Preflowering_Apex	Mature_Inflorescence
TRINITY_DN4578_c0_g1(MgPAL1)	PAL	1245.733	792.331	494.905	605.744	1028.472	1102.806	1639.949	764.504
TRINITY_DN11387_c1_g1(MgPAL5)	PAL	205.787	174.890	602.152	322.105	211.588	234.741	406.375	278.718
TRINITY_DN2860_c0_g1(Mg4CL1)	4CL	153.169	113.074	30.932	51.809	118.018	144.403	154.434	109.388
TRINITY_DN17315_c0_g1(Mg4CL3)	4CL	10.896	3.321	0.429	0.845	2.687	2.824	1.424	2.022
TRINITY_DN5957_c0_g1(MgHCT1)	HCT	42.595	17.577	2.663	5.568	8.764	9.518	36.462	7.402
TRINITY_DN6480_c0_g1(MgHCT2)	HCT	85.306	36.151	6.962	19.946	86.693	92.159	90.132	42.022
TRINITY_DN1868_c0_g1(MgCCoAOMT1)	CCoAOMT	252.560	189.535	144.932	285.889	408.260	365.298	310.202	184.905
TRINITY_DN93_c0_g1(MgCCoAOMT3)	CCoAOMT	93.654	100.557	16.249	52.823	98.720	120.200	191.776	69.127
TRINITY_DN2899_c0_g1_1(MgCCR1)	CCR	154.247	64.514	8.189	10.797	34.537	31.070	46.653	16.918
TRINITY_DN2899_c0_g1_2(MgCCR2)	CCR	64.901	52.695	3.821	4.627	21.023	31.880	36.441	8.154
