Gene_ID	Gene_ID_new	ko	pathway
TRINITY_DN3722_c0_g1	5125	ko00500	Starch and sucrose metabolism
TRINITY_DN3722_c0_g1	5125	ko01100	Metabolic pathways
TRINITY_DN9213_c0_g1	4515	ko03013	RNA transport
TRINITY_DN39015_c0_g1	1525	ko03010	Ribosome
TRINITY_DN3733_c0_g1	5121	ko04626	Plant-pathogen interaction
TRINITY_DN18969_c0_g1	519	ko00480	Glutathione metabolism
TRINITY_DN18969_c0_g2	520	ko00480	Glutathione metabolism
TRINITY_DN8354_c0_g1	4580	ko00290	Valine, leucine and isoleucine biosynthesis
TRINITY_DN8354_c0_g1	4580	ko00650	Butanoate metabolism
TRINITY_DN8354_c0_g1	4580	ko00660	C5-Branched dibasic acid metabolism
TRINITY_DN8354_c0_g1	4580	ko00770	Pantothenate and CoA biosynthesis
TRINITY_DN8354_c0_g1	4580	ko01100	Metabolic pathways
TRINITY_DN8354_c0_g1	4580	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN8354_c0_g1	4580	ko01210	2-Oxocarboxylic acid metabolism
TRINITY_DN8354_c0_g1	4580	ko01230	Biosynthesis of amino acids
TRINITY_DN20240_c0_g2	1956	ko00380	Tryptophan metabolism
TRINITY_DN20240_c0_g2	1956	ko01100	Metabolic pathways
TRINITY_DN20240_c0_g1	1955	ko00460	Cyanoamino acid metabolism
TRINITY_DN20240_c0_g1	1955	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN10407_c0_g1	2193	ko04075	Plant hormone signal transduction
TRINITY_DN3108_c0_g1	3527	ko00480	Glutathione metabolism
TRINITY_DN485_c0_g1	808	ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis
TRINITY_DN485_c0_g1	808	ko01100	Metabolic pathways
TRINITY_DN485_c0_g1	808	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN485_c0_g1	808	ko01230	Biosynthesis of amino acids
TRINITY_DN3329_c0_g1	8939	ko04120	Ubiquitin mediated proteolysis
TRINITY_DN21008_c0_g1	1783	ko04120	Ubiquitin mediated proteolysis
TRINITY_DN21464_c0_g1	11	ko04146	Peroxisome
TRINITY_DN36_c0_g2	277	ko04141	Protein processing in endoplasmic reticulum
TRINITY_DN36_c0_g1	276	ko04141	Protein processing in endoplasmic reticulum
TRINITY_DN10723_c0_g3	5272	ko03030	DNA replication
TRINITY_DN10723_c0_g3	5272	ko03420	Nucleotide excision repair
TRINITY_DN10723_c0_g3	5272	ko03430	Mismatch repair
TRINITY_DN10723_c0_g3	5272	ko03440	Homologous recombination
TRINITY_DN46440_c0_g1	1706	ko00905	Brassinosteroid biosynthesis
TRINITY_DN46440_c0_g1	1706	ko01100	Metabolic pathways
TRINITY_DN46440_c0_g1	1706	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN46440_c0_g2	1707	ko00905	Brassinosteroid biosynthesis
TRINITY_DN46440_c0_g2	1707	ko01100	Metabolic pathways
TRINITY_DN46440_c0_g2	1707	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN8159_c0_g1	6491	ko00970	Aminoacyl-tRNA biosynthesis
TRINITY_DN17788_c0_g1	2290	ko00040	Pentose and glucuronate interconversions
TRINITY_DN1614_c1_g2	11973	ko00940	Phenylpropanoid biosynthesis
TRINITY_DN1614_c1_g2	11973	ko01100	Metabolic pathways
TRINITY_DN1614_c1_g2	11973	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN1614_c1_g1	11974	ko00940	Phenylpropanoid biosynthesis
TRINITY_DN1614_c1_g1	11974	ko01100	Metabolic pathways
TRINITY_DN1614_c1_g1	11974	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN103852_c0_g1	12382	ko03010	Ribosome
TRINITY_DN20030_c0_g1	11222	ko00940	Phenylpropanoid biosynthesis
TRINITY_DN20030_c0_g1	11222	ko01100	Metabolic pathways
TRINITY_DN20030_c0_g1	11222	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN17051_c0_g1	784	ko04075	Plant hormone signal transduction
TRINITY_DN5618_c0_g1	42	ko00900	Terpenoid backbone biosynthesis
TRINITY_DN176_c0_g1	7712	ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis
TRINITY_DN176_c0_g1	7712	ko01100	Metabolic pathways
TRINITY_DN176_c0_g1	7712	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN176_c0_g1	7712	ko01230	Biosynthesis of amino acids
TRINITY_DN9159_c0_g2	1734	ko02010	ABC transporters
TRINITY_DN136096_c0_g1	12969	ko00230	Purine metabolism
TRINITY_DN136096_c0_g1	12969	ko00240	Pyrimidine metabolism
TRINITY_DN136096_c0_g1	12969	ko01100	Metabolic pathways
TRINITY_DN136096_c0_g1	12969	ko03020	RNA polymerase
TRINITY_DN18065_c0_g1	8289	ko03440	Homologous recombination
TRINITY_DN9159_c0_g1	1733	ko02010	ABC transporters
